id,dateofsemiday,time
20170409D,20170409,D
20170409N,20170409,N
20170410D,20170410,D
20170410N,20170410,N
20170411D,20170411,D
20170411N,20170411,N
20170412D,20170412,D
20170412N,20170412,N
20170413D,20170413,D
20170413N,20170413,N
20170414D,20170414,D
20170414N,20170414,N
20170415D,20170415,D
20170415N,20170415,N
20170416D,20170416,D
20170416N,20170416,N
20170417D,20170417,D
20170417N,20170417,N
20170418D,20170418,D
20170418N,20170418,N
20170419D,20170419,D
20170419N,20170419,N
20170420D,20170420,D
20170420N,20170420,N
20170421D,20170421,D
20170421N,20170421,N
20170422D,20170422,D
20170422N,20170422,N
20170423D,20170423,D
20170423N,20170423,N
20170424D,20170424,D
20170424N,20170424,N
20170425D,20170425,D
20170425N,20170425,N
20170426D,20170426,D
20170426N,20170426,N
20170427D,20170427,D
20170427N,20170427,N
20170428D,20170428,D
20170428N,20170428,N
20170429D,20170429,D
20170429N,20170429,N
20170430D,20170430,D
20170430N,20170430,N
20170501D,20170501,D
20170501N,20170501,N
20170502D,20170502,D
20170502N,20170502,N
20170503D,20170503,D
20170503N,20170503,N
20170504D,20170504,D
20170504N,20170504,N
20170505D,20170505,D
20170505N,20170505,N
20170506D,20170506,D
20170506N,20170506,N
20170507D,20170507,D
20170507N,20170507,N
20170508D,20170508,D
20170508N,20170508,N
20170509D,20170509,D
20170509N,20170509,N
20170510D,20170510,D
20170510N,20170510,N
20170511D,20170511,D
20170511N,20170511,N
20170512D,20170512,D
20170512N,20170512,N
20170513D,20170513,D
20170513N,20170513,N
20170514D,20170514,D
20170514N,20170514,N
20170515D,20170515,D
20170515N,20170515,N
20170516D,20170516,D
20170516N,20170516,N
20170517D,20170517,D
20170517N,20170517,N
20170518D,20170518,D
20170518N,20170518,N
20170519D,20170519,D
20170519N,20170519,N
20170520D,20170520,D
20170520N,20170520,N
20170521D,20170521,D
20170521N,20170521,N
20170522D,20170522,D
20170522N,20170522,N
20170523D,20170523,D
20170523N,20170523,N
20170524D,20170524,D
20170524N,20170524,N
20170525D,20170525,D
20170525N,20170525,N
20170526D,20170526,D
20170526N,20170526,N
20170527D,20170527,D
20170527N,20170527,N
20170528D,20170528,D
20170528N,20170528,N
20170529D,20170529,D
20170529N,20170529,N
20170530D,20170530,D
20170530N,20170530,N
20170531D,20170531,D
20170531N,20170531,N
20170601D,20170601,D
20170601N,20170601,N
20170602D,20170602,D
20170602N,20170602,N
20170603D,20170603,D
20170603N,20170603,N
20170604D,20170604,D
20170604N,20170604,N
20170605D,20170605,D
20170605N,20170605,N
20170606D,20170606,D
20170606N,20170606,N
20170607D,20170607,D
20170607N,20170607,N
20170608D,20170608,D
20170608N,20170608,N
20170609D,20170609,D
20170609N,20170609,N
20170610D,20170610,D
20170610N,20170610,N
20170611D,20170611,D
20170611N,20170611,N
20170612D,20170612,D
20170612N,20170612,N
20170613D,20170613,D
20170613N,20170613,N
20170614D,20170614,D
20170614N,20170614,N
20170615D,20170615,D
20170615N,20170615,N
20170616D,20170616,D
20170616N,20170616,N
20170617D,20170617,D
20170617N,20170617,N
20170618D,20170618,D
20170618N,20170618,N
20170619D,20170619,D
20170619N,20170619,N
20170620D,20170620,D
20170620N,20170620,N
20170621D,20170621,D
20170621N,20170621,N
20170622D,20170622,D
20170622N,20170622,N
20170623D,20170623,D
20170623N,20170623,N
20170624D,20170624,D
20170624N,20170624,N
20170625D,20170625,D
20170625N,20170625,N
20170626D,20170626,D
20170626N,20170626,N
20170627D,20170627,D
20170627N,20170627,N
20170628D,20170628,D
20170628N,20170628,N
20170629D,20170629,D
20170629N,20170629,N
20170630D,20170630,D
20170630N,20170630,N
20170701D,20170701,D
20170701N,20170701,N
20170702D,20170702,D
20170702N,20170702,N
20170703D,20170703,D
20170703N,20170703,N
20170704D,20170704,D
20170704N,20170704,N
20170705D,20170705,D
20170705N,20170705,N
20170706D,20170706,D
20170706N,20170706,N
20170707D,20170707,D
20170707N,20170707,N
20170708D,20170708,D
20170708N,20170708,N
20170709D,20170709,D
20170709N,20170709,N
20170710D,20170710,D
20170710N,20170710,N
20170711D,20170711,D
20170711N,20170711,N
20170712D,20170712,D
20170712N,20170712,N
20170713D,20170713,D
20170713N,20170713,N
20170714D,20170714,D
20170714N,20170714,N
20170715D,20170715,D
20170715N,20170715,N
20170716D,20170716,D
20170716N,20170716,N
20170717D,20170717,D
20170717N,20170717,N
20170718D,20170718,D
20170718N,20170718,N
20170719D,20170719,D
20170719N,20170719,N
20170720D,20170720,D
20170720N,20170720,N
20170721D,20170721,D
20170721N,20170721,N
20170722D,20170722,D
20170722N,20170722,N
20170723D,20170723,D
20170723N,20170723,N
20170724D,20170724,D
20170724N,20170724,N
20170725D,20170725,D
20170725N,20170725,N
20170726D,20170726,D
20170726N,20170726,N
20170727D,20170727,D
20170727N,20170727,N
20170728D,20170728,D
20170728N,20170728,N
20170729D,20170729,D
20170729N,20170729,N
20170730D,20170730,D
20170730N,20170730,N
20170731D,20170731,D
20170731N,20170731,N
20170801D,20170801,D
20170801N,20170801,N
20170802D,20170802,D
20170802N,20170802,N
20170803D,20170803,D
20170803N,20170803,N
20170804D,20170804,D
20170804N,20170804,N
20170805D,20170805,D
20170805N,20170805,N
20170806D,20170806,D
20170806N,20170806,N
20170807D,20170807,D
20170807N,20170807,N
20170808D,20170808,D
20170808N,20170808,N
20170809D,20170809,D
20170809N,20170809,N
20170810D,20170810,D
20170810N,20170810,N
20170811D,20170811,D
20170811N,20170811,N
20170812D,20170812,D
20170812N,20170812,N
20170813D,20170813,D
20170813N,20170813,N
20170814D,20170814,D
20170814N,20170814,N
20170815D,20170815,D
20170815N,20170815,N
20170816D,20170816,D
20170816N,20170816,N
20170817D,20170817,D
20170817N,20170817,N
20170818D,20170818,D
20170818N,20170818,N
20170819D,20170819,D
20170819N,20170819,N
20170820D,20170820,D
20170820N,20170820,N
20170821D,20170821,D
20170821N,20170821,N
20170822D,20170822,D
20170822N,20170822,N
20170823D,20170823,D
20170823N,20170823,N
20170824D,20170824,D
20170824N,20170824,N
20170825D,20170825,D
20170825N,20170825,N
20170826D,20170826,D
20170826N,20170826,N
20170827D,20170827,D
20170827N,20170827,N
20170828D,20170828,D
20170828N,20170828,N
20170829D,20170829,D
20170829N,20170829,N
20170830D,20170830,D
20170830N,20170830,N
20170831D,20170831,D
20170831N,20170831,N
20170901D,20170901,D
20170901N,20170901,N
20170902D,20170902,D
20170902N,20170902,N
20170903D,20170903,D
20170903N,20170903,N
20170904D,20170904,D
20170904N,20170904,N
20170905D,20170905,D
20170905N,20170905,N
20170906D,20170906,D
20170906N,20170906,N
20170907D,20170907,D
20170907N,20170907,N
20170908D,20170908,D
20170908N,20170908,N
20170909D,20170909,D
20170909N,20170909,N
20170910D,20170910,D
20170910N,20170910,N
20170911D,20170911,D
20170911N,20170911,N
20170912D,20170912,D
20170912N,20170912,N
20170913D,20170913,D
20170913N,20170913,N
20170914D,20170914,D
20170914N,20170914,N
20170915D,20170915,D
20170915N,20170915,N
20170916D,20170916,D
20170916N,20170916,N
20170917D,20170917,D
20170917N,20170917,N
20170918D,20170918,D
20170918N,20170918,N
20170919D,20170919,D
20170919N,20170919,N
20170920D,20170920,D
20170920N,20170920,N
20170921D,20170921,D
20170921N,20170921,N
20170922D,20170922,D
20170922N,20170922,N
20170923D,20170923,D
20170923N,20170923,N
20170924D,20170924,D
20170924N,20170924,N
